CountryCode,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,2013[YR2013],2014[YR2014],"2015[YR2015]
"
MEA,5.47158576,5.381823993,5.614544417,5.787677046,5.987226314,5.962865313,,,,
,,,,,,,,,,
MNA,3.643387282,3.624609476,3.788672097,3.841796352,3.882503271,3.878219274,,,,
,,,,,,,,,,
MIC,2.773098128,2.882285152,2.98134255,3.102174818,3.226961637,3.424407905,,,,
,,,,,,,,,,
MDA,1.393071924,1.30813803,1.337336013,1.276290637,1.385659642,1.398821793,,,,
,,,,,,,,,,
MCO,,,,,,,,,,
,,,,,,,,,,
MNG,3.712170957,3.892192769,3.81388549,4.140116094,4.243335224,6.915146531,,,,
,,,,,,,,,,
MNE,3.875533515,3.655836006,4.457679397,2.953556075,4.167664361,4.145547583,,,,
,,,,,,,,,,
MAR,1.545229558,1.620931736,1.687375568,1.654806038,1.742832779,1.737915547,,,,
,,,,,,,,,,
MOZ,0.091093604,0.10692857,0.101742097,0.108702094,0.118205418,0.131189805,,,,
,,,,,,,,,,
MMR,0.250435369,0.249246107,0.176918537,0.202232171,0.173734652,0.200285212,,,,
,,,,,,,,,,
NAM,1.133710499,1.15651357,1.691632521,1.478823448,1.449319237,1.239160489,,,,
,,,,,,,,,,
NPL,0.103210301,0.105098567,0.11450154,0.136102525,0.161137874,0.159474455,,,,
,,,,,,,,,,
NCL,11.81224237,12.32556027,13.53130952,11.57082986,15.680092,15.17329528,,,,
,,,,,,,,,,
NZL,8.018221574,7.96637909,8.044536128,7.511955097,7.297420185,7.124050867,,,,
,,,,,,,,,,
NIC,0.819491407,0.834055188,0.790487627,0.803730282,0.805909906,0.843541955,,,,
,,,,,,,,,,
NER,0.05764269,0.056541084,0.060771767,0.073470122,0.083054495,0.083958178,,,,
,,,,,,,,,,
NGA,0.687380144,0.647289878,0.613327639,0.462535787,0.534553664,0.53749756,,,,
,,,,,,,,,,
NAC,18.89529785,19.02018554,18.27761502,16.98268669,17.19612789,16.7319858,,,,
,,,,,,,,,,
MNP,,,,,,,,,,
,,,,,,,,,,
NOR,9.495835691,9.57484966,10.55446109,10.81860557,11.61619323,9.192879069,,,,
,,,,,,,,,,
INX,,,,,,,,,,
,,,,,,,,,,
OED,10.87706811,10.91040891,10.6175927,9.892443781,10.11289867,9.907168406,,,,
,,,,,,,,,,
