CountryCode,CO2YR2006,CO2YR2007,CO2YR2008,CO2YR2009,CO2YR2010,CO2YR2011,2012 [YR2012],2013 [YR2013],2014 [YR2014],FAYR2006,FAYR2007,FAYR2008,FAYR2009,FAYR2010,FAYR2011,2012 [YR2012],2013 [YR2013],2014 [YR2014]
HND,1.00008677,1.230602978,1.194640242,1.058414368,1.080473355,1.103745053,,,,56720,55520,54320,53120,51920,50720,49520,48320,
,,,,,,,,,,,,,,,,,,
HUN,5.698187039,5.572459521,5.463501182,4.867185924,5.074749628,4.862989931,,,,19956,20082,20208,20334,20460,20506,20552,20598,
,,,,,,,,,,,,,,,,,,
ISL,7.496188056,7.414833454,6.677481144,6.447492771,6.168528586,5.896828979,,,,377.4,389.8,402.2,414.6,430,440,453,466,
,,,,,,,,,,,,,,,,,,
IRQ,3.563542432,2.186766827,3.194050322,3.47996689,3.610434779,4.20163513,,,,8250,8250,8250,8250,8250,8250,8250,8250,
,,,,,,,,,,,,,,,,,,
IRL,10.13026328,10.16503468,9.527000515,8.891436541,8.810150532,7.880759326,,,,7010,7071.5,7133.2,7194.8,7260,7313.1,7369.9,7426.6,
,,,,,,,,,,,,,,,,,,
IMY,,,,,,,,,,34.6,34.6,34.6,34.6,30,34.6,34.6,34.6,
,,,,,,,,,,,,,,,,,,
ISR,8.872604307,8.750116433,9.340594762,8.612962755,9.036666273,8.952413531,,,,1548,1546,1544,1542,1540,1562,1584,1606,
,,,,,,,,,,,,,,,,,,
JAM,4.530808785,5.062906364,4.476814921,3.204231319,2.672410756,2.872655693,,,,3387.8,3383.6,3379.4,3375.2,3370,3367.2,3363.4,3359.6,
,,,,,,,,,,,,,,,,,,
JOR,3.815375723,3.892422364,3.689815762,3.70109721,3.50324049,3.601147064,,,,975,975,975,975,980,975,975,975,
,,,,,,,,,,,,,,,,,,
KAZ,12.57715649,14.2211715,14.65957764,13.30972781,15.14647827,15.81009754,,,,33314,33258,33202,33146,33090,33090,33090,33090,
,,,,,,,,,,,,,,,,,,
KEN,0.263863006,0.263921731,0.267801815,0.31450114,0.307975417,0.327569171,,,,40836,41202,41568,41934,42300,42666,43032,43398,
,,,,,,,,,,,,,,,,,,
KIR,0.739181175,0.533049528,0.558783791,0.401099775,0.607308472,0.595622098,,,,121.5,121.5,121.5,121.5,120,121.5,121.5,121.5,
,,,,,,,,,,,,,,,,,,
KSV,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
KWT,30.87219115,29.63684934,30.58126375,29.72170379,29.69343348,28.10266175,,,,56.9,58.3,59.7,61.1,60,62.5,62.5,62.5,
,,,,,,,,,,,,,,,,,,
KGZ,0.991517898,1.120619163,1.069343449,1.180486133,1.129467501,1.199591629,,,,8308.4,7923.8,7539.2,7154.6,6770,6690,6610,6530,
,,,,,,,,,,,,,,,,,,
LAO,0.270683528,0.158048796,0.161954988,0.160311795,0.203248951,0.188910506,,,,170588.8,172480.5,174372.2,176263.9,178160,180047.3,181939,183830.7,
,,,,,,,,,,,,,,,,,,
LVA,3.418456092,3.779785259,3.629405756,3.443266443,3.963228139,3.786801437,,,,33084,33198,33312,33426,33540,33544,33548,33552,
,,,,,,,,,,,,,,,,,,
LBN,3.572961427,3.309380466,4.202060939,5.001002214,4.632411885,4.668312508,,,,1365.8,1366.6,1367.4,1368.2,1370,1369.8,1370.6,1371.4,
,,,,,,,,,,,,,,,,,,
LSO,0.74460882,0.753779806,1.056111113,1.06118278,1.123489371,1.082269608,,,,432,434,436,438,440,450,460,470,
,,,,,,,,,,,,,,,,,,
LBR,0.224257889,0.192597983,0.156752837,0.138178275,0.202899199,0.218425012,,,,44490,44190,43890,43590,43290,42990,42690,42390,
,,,,,,,,,,,,,,,,,,
LBY,9.227794152,8.84546264,9.136624366,10.0370768,10.54269589,6.204914344,,,,2170,2170,2170,2170,2170,2170,2170,2170,
,,,,,,,,,,,,,,,,,,
LIE,,1.966441816,1.95047731,1.527746917,1.617377881,1.405096204,,,,69,69,69,69,70,69,69,69,
,,,,,,,,,,,,,,,,,,
LTU,4.371365075,4.564324385,4.598897641,3.925637608,4.319017771,4.537558514,,,,21308,21406,21504,21602,21700,21720,21740,21760,
,,,,,,,,,,,,,,,,,,
LUX,24.01285765,22.96492241,22.38547222,20.87712517,21.6351358,20.8978117,,,,867,867,867,867,870,867,867,867,
,,,,,,,,,,,,,,,,,,
MDG,0.089405156,0.093705131,0.099740761,0.092499326,0.098983365,0.112992805,,,,127810,127240,126670,126100,125530,125370,125210,125050,
,,,,,,,,,,,,,,,,,,
MWI,0.072711421,0.070632195,0.082545714,0.073703111,0.082179517,0.079231485,,,,33690,33360,33030,32700,32370,32190,32010,31830,
,,,,,,,,,,,,,,,,,,
MYS,6.497627846,7.037791323,7.656532739,7.373235988,7.986951475,7.898823573,,,,211368,213836,216304,218772,221240,221382,221524,221666,
,,,,,,,,,,,,,,,,,,
MDV,2.664906907,2.626790831,2.78570442,2.964158333,2.927604905,2.927763926,,,,10,10,10,10,10,10,10,10,
,,,,,,,,,,,,,,,,,,
MLI,0.070805643,0.073290823,0.075281844,0.078108539,0.081476607,0.079956379,,,,54260,53470,52680,51890,51100,50310,49520,48730,
,,,,,,,,,,,,,,,,,,
MLT,6.351303206,6.698844917,6.252313871,5.796405618,6.316495701,6.034321639,,,,3.5,3.5,3.5,3.5,0,3.5,3.5,3.5,
,,,,,,,,,,,,,,,,,,
MHL,1.760272657,1.899052478,1.895961395,1.962424266,1.958419165,1.954207191,,,,126.4,126.4,126.4,126.4,130,126.4,126.4,126.4,
,,,,,,,,,,,,,,,,,,
MRT,0.496585807,0.55418962,0.567036613,0.608387039,0.595272317,0.627225464,,,,2620,2570,2520,2470,2420,2385,2350,2315,
,,,,,,,,,,,,,,,,,,
MUS,2.94193012,2.97588958,3.029991456,2.963163435,3.132082534,3.127070817,,,,382.4,382.8,383.2,383.6,380,384.4,384.8,385.2,
,,,,,,,,,,,,,,,,,,
MDA,1.393071924,1.30813803,1.337336013,1.276290637,1.385659642,1.398821793,,,,3676,3722,3768,3814,3860,3906,3952,3998,
,,,,,,,,,,,,,,,,,,
MCO,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,
MNG,3.712170957,3.892192769,3.81388549,4.140116094,4.243335224,6.915146531,,,,116542.4,120004.8,123467.2,126929.6,130390,129419.2,128446.4,127473.6,
,,,,,,,,,,,,,,,,,,
MNE,3.875533515,3.655836006,4.457679397,2.953556075,4.167664361,4.145547583,,,,6662,7064,7466,7868,8270,8270,8270,8270,
,,,,,,,,,,,,,,,,,,
MAR,1.545229558,1.620931736,1.687375568,1.654806038,1.742832779,1.737915547,,,,54552,55094,55636,56178,56720,56640,56560,56480,
,,,,,,,,,,,,,,,,,,
MOZ,0.091093604,0.10692857,0.101742097,0.108702094,0.118205418,0.131189805,,,,398576,396362,394148,391934,389720,387656,385592,383528,
,,,,,,,,,,,,,,,,,,
MMR,0.250435369,0.249246107,0.176918537,0.202232171,0.173734652,0.200285212,,,,330114,327018,323922,320826,317730,312266,306802,301338,
,,,,,,,,,,,,,,,,,,
NAM,1.133710499,1.15651357,1.691632521,1.478823448,1.449319237,1.239160489,,,,75868,75126,74384,73642,72900,72158,71416,70674,
